Serial Number,Receipt Number,Date,Register Name,Draft Name,Occupants,Total Product Count,Product Name,Product Category,Product Notes,Product Quantity,Product Price,Product Tax,Product Zero Tax,Product Discount,Product Coupon Code,Product Total,Subtotal Price,Tax,Zero Tax,Bulk Discount,Bulk Coupon Code,Discount,Roundoff,Packaging Small,Tea Kettle,Small Packaging,Packaging large,Packaging medium,Total Price,Cash Refund,Card Refund,Other Refund,Payment Status,Fulfillment Status,Cancellation Status,Delivery Date,Tags,Channel Name,Brand Name,Channel Id,,Customer Name,Shipping Address,Customer Tags,Redemption CRM,Redemption Type
SA6209,SA-Q2I-2007-6212,"Nov 1, 2021 11:03",Main Register,Table 4,,3,Veg Maggi,Maggi Maggi Maggi,,4,260,0,0,0,,260,415,0,,0,,0,0,,,,,,415,0,0,0,paid,fulfilled,,,,,,,,Shyam,,,,
SA6209,SA-Q2I-2007-6212,"Nov 1, 2021 11:03",,,,,Cold Drink - Sprite,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6209,SA-Q2I-2007-6212,"Nov 1, 2021 11:03",,,,,Adrak Elaichi Chai,Chai,,3,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6211,SA-Q2I-2007-6213,"Nov 1, 2021 12:21",Main Register,Table 2,,3,Tandoori Cheese Burger,Burgers,,1,95,0,0,0,,95,180,0,,25,,25,0,,,,,,155,0,0,0,paid,fulfilled,,,,,,,,Yuvraj,,,,
SA6211,SA-Q2I-2007-6213,"Nov 1, 2021 12:21",,,,,Butter Maggi,Maggi Maggi Maggi,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6211,SA-Q2I-2007-6213,"Nov 1, 2021 12:21",,,,,Cold Drink - Thumbs Up,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6210,SA-Q2I-2007-6214,"Nov 1, 2021 12:40",Main Register,Table 4,,3,Oreo Shake,Shakes,,1,120,0,0,0,,120,449,0,,0,,0,0,,,,,,449,0,0,0,paid,fulfilled,,,,,,,,akash,,,,
SA6210,SA-Q2I-2007-6214,"Nov 1, 2021 12:40",,,,,Kit Kat Shake,Shakes,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6210,SA-Q2I-2007-6214,"Nov 1, 2021 12:40",,,,,Tandoori Paneer Pizza,Pizza,,1,199,0,0,0,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6212,SA-Q2I-2007-6215,"Nov 1, 2021 12:45",Main Register,Table 5,,3,Peri Peri Fries,Fries & Nachos,,1,110,0,0,0,,110,465,0,,0,,0,0,,,,,,465,0,0,0,paid,fulfilled,,,,,,,,aashi,,,,
SA6212,SA-Q2I-2007-6215,"Nov 1, 2021 12:45",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6212,SA-Q2I-2007-6215,"Nov 1, 2021 12:45",,,,,Kit Kat Shake,Shakes,,2,260,0,0,0,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6213,SA-Q2I-2007-6216,"Nov 1, 2021 12:59",Main Register,Table 3,,2,Classic Hot Coffee,Coffee,,2,100,0,0,0,,100,199,0,,0,,0,0,,,,,,199,0,0,0,paid,fulfilled,,,,,,,,anchit,,,,
SA6213,SA-Q2I-2007-6216,"Nov 1, 2021 12:59",,,,,Classic Margherita Pizza,Pizza,,1,99,0,0,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6214,SA-Q2I-2007-6217,"Nov 1, 2021 14:19",Main Register,Table 5,,4,Kit Kat Shake,Shakes,,1,130,0,0,0,,130,634,0,,42.9,,42.9,-0.1,,,,,,591,0,0,0,paid,fulfilled,,,,,,,,Utkarsh,,,Bingage,Wallet
SA6214,SA-Q2I-2007-6217,"Nov 1, 2021 14:19",,,,,Strawberry Shake,Shakes,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6214,SA-Q2I-2007-6217,"Nov 1, 2021 14:19",,,,,Pasta + 2 Cold Coffee/2 Shakes / Cold Coffee - Regular / White Sauce Pasta / Strawberry Shake,Everyday Combos,,1,299,0,0,0,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6214,SA-Q2I-2007-6217,"Nov 1, 2021 14:19",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6215,SA-Q2I-2007-6218,"Nov 1, 2021 14:22",Main Register,Table 2,,4,Sandwich + 2 Chai / Adrak Elaichi Chai / Garlic Cheese Sandwich,Everyday Combos,,1,169,0,0,0,,169,274,0,,0,,0,0,,,,,,274,0,0,0,paid,fulfilled,,,,,,,,Akshat,,,,
SA6215,SA-Q2I-2007-6218,"Nov 1, 2021 14:22",,,,,Adrak Chai,Chai,,1,25,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6215,SA-Q2I-2007-6218,"Nov 1, 2021 14:22",,,,,Water (500 ml),Unchai,,1,15,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6215,SA-Q2I-2007-6218,"Nov 1, 2021 14:22",,,,,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6216,SA-Q2I-2007-6219,"Nov 1, 2021 14:42",Main Register,Table 4,,6,Adrak Chai,Chai,,6,150,0,0,0,,150,1020,0,,0,,0,0,,,,,,1020,0,0,0,paid,fulfilled,,,,,,,,Zaid,,,,
SA6216,SA-Q2I-2007-6219,"Nov 1, 2021 14:42",,,,,Elaichi Chai,Chai,,1,30,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6216,SA-Q2I-2007-6219,"Nov 1, 2021 14:42",,,,,Fresh Veggie Sandwich,Grilled Sandwiches,,1,100,0,0,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6216,SA-Q2I-2007-6219,"Nov 1, 2021 14:42",,,,,Veg Maggi,Maggi Maggi Maggi,,4,260,0,0,0,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6216,SA-Q2I-2007-6219,"Nov 1, 2021 14:42",,,,,Red Sauce / Arrabiata Penne Pasta,Pasta,,3,450,0,0,0,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6216,SA-Q2I-2007-6219,"Nov 1, 2021 14:42",,,,,Water (500 ml),Unchai,,2,30,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6217,SA-Q2I-2007-6220,"Nov 1, 2021 15:01",Main Register,Table 1,,3,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,280,0,,0,,0,0,,,,,,280,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6217,SA-Q2I-2007-6220,"Nov 1, 2021 15:01",,,,,Tandoori Cheese Burger,Burgers,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6217,SA-Q2I-2007-6220,"Nov 1, 2021 15:01",,,,,Cold Drink - Thumbs Up,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6219,SA-Q2I-2007-6221,"Nov 1, 2021 16:13",Main Register,Table 4,,3,Classic Hot Coffee,Coffee,,2,100,0,0,0,,100,280,0,,55.9,,55.9,-0.1,,,,,,224,0,0,0,paid,fulfilled,,,,,,,,Abhay,,,Bingage,Wallet
SA6219,SA-Q2I-2007-6221,"Nov 1, 2021 16:13",,,,,Veg Fried Momos,Momos,,1,80,0,0,0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6219,SA-Q2I-2007-6221,"Nov 1, 2021 16:13",,,,,Fresh Veggie Sandwich,Grilled Sandwiches,,1,100,0,0,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6218,SA-Q2I-2007-6222,"Nov 1, 2021 16:20",Main Register,Table 2,,1,Burger + Cold Drink / Veg Cheese Burger,Everyday Combos,,2,218,0,0,0,,218,218,0,,0,,0,0,,,,,,218,0,0,0,paid,fulfilled,,,,,,,,Anurag,,,,
SA6222,SA-Q2I-2007-6223,"Nov 1, 2021 16:30",Main Register,Table 6,,5,Paneer Steak and Cheese Sandwich,Grilled Sandwiches,,1,160,0,0,0,,160,515,0,,0,,0,0,,,,,,515,0,0,0,paid,fulfilled,,,,,,,,Shobhit,,,,
